run_id,config,fold,macro_f1_cv,macro_f1_lb,ema_decay,swa_start,notes
20251105-063622_swin_large_patch4_window12_384_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/baseline_cv.yaml,0,0.9010,,None,None,"seed=42, 6-fold split v1, special-case aug applied, EMA off"
20251105-064758_swin_large_patch4_window12_384_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/baseline_ema.yaml,0,0.9131,,0.9995,None,"EMA update_interval=2, seed=42"
20251105-092910_swin_large_patch4_window12_384_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/baseline_cv.yaml,1,0.8988,,None,None,"seed=2024, wd=0.2, RRC[0.8,1.0]"
20251105-093636_swin_large_patch4_window12_384_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/baseline_ema.yaml,1,0.9050,,0.9995,None,"seed=2024, wd=0.2, RRC[0.8,1.0], TS temp=0.8661"
20251105-100203_swin_large_patch4_window12_384_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/baseline_cv.yaml,1,0.9058,,None,None,"seed=2024, wd=0.05, RRC[0.8,1.0]"
20251105-101130_swin_large_patch4_window12_384_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/baseline_ema.yaml,1,0.8822,,0.9995,None,"seed=2024, wd=0.05, RRC[0.8,1.0], TS temp=0.6513"
20251105-134447_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/baseline_cv.yaml,1,0.9123,,None,None,"seed=2024, wd=0.05, RRC[0.9,1.0], Swin-L in22k, checkpointing"
20251105-135430_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/baseline_ema.yaml,1,0.8913,,0.9995,None,"seed=2024, wd=0.05, RRC[0.9,1.0], Swin-L in22k, TS temp=0.8512, checkpointing"
20251105-141600_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8.yaml,1,0.9151,,None,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], checkpointing"
20251105-142827_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8_ema.yaml,1,0.8954,,0.9995,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], TS temp=0.8318, checkpointing"
20251105-145020_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8.yaml,0,0.8813,,None,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], checkpointing"
20251105-145703_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8.yaml,2,0.9120,,None,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], checkpointing"
20251105-150151_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8.yaml,3,0.9138,,None,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], checkpointing"
20251105-150956_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8.yaml,4,0.9210,,None,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], checkpointing"
20251105-151800_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8.yaml,5,0.9289,,None,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], checkpointing"
20251105-152906_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8_ema.yaml,0,0.8687,,0.9995,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], TS temp=0.8358, checkpointing"
20251105-154807_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8_ema.yaml,2,0.8925,,0.9995,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], TS temp=0.7689, checkpointing"
20251105-160616_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8_ema.yaml,3,0.9120,,0.9995,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], TS temp=0.7936, checkpointing"
20251105-162504_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8_ema.yaml,4,0.9057,,0.9995,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], TS temp=0.8348, checkpointing"
20251105-164353_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,configs/swin_in22k_lr0.8_ema.yaml,5,0.9234,,0.9995,None,"seed=2024, lr=8e-5, wd=0.05, RRC[0.9,1.0], TS temp=0.8245, checkpointing"
