run_dir,model,has_per_class,last_metric
20251106-183210_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,False,
20251106-183403_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,False,
20251106-183506_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,True,0.9052704097847737
20251107-050531_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,True,0.8442531831547513
20251107-050740_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,False,
20251107-050858_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,True,0.913655356561931
20251107-123720_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,False,
20251107-123849_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,False,
20251107-123959_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,True,0.9782766971650112
20251107-141808_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,False,0.9833768267767286
20251107-174417_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,False,0.9095313033607465
20251107-180447_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,False,0.984913211912707
20251108-030943_convnextv2_large.fcmae_ft_in22k_in1k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,convnextv2,True,0.9896327905892112
20251108-061004_convnextv2_large.fcmae_ft_in22k_in1k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,convnextv2,False,0.9350167212129041
20251108-063931_convnextv2_large.fcmae_ft_in22k_in1k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,convnextv2,False,0.9875055976618919
20251108-070118_convnextv2_large.fcmae_ft_in22k_in1k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,convnextv2,False,0.9883477081889341
20251108-130040_tf_efficientnetv2_l.in21k_ft_in1k_384px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnetv2_l,True,0.9841260458364062
20251108-154559_convnextv2_large.fcmae_ft_in22k_in1k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,convnextv2,True,0.9849725152351257
20251109-044541_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.9624318395189595
20251109-071231_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.02575241316689474
20251109-071308_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.9644151477712062
20251109-075625_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.9866726532312228
20251110-053426_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,False,
20251110-060511_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.9901109958309272
20251110-122527_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.9010383354811762
20251110-124820_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.9883545823102108
20251110-131240_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,False,
20251110-131323_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.9866796668978969
20251110-163029_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.9871039036531855
20251110-180108_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.9892441834953438
20251110-193134_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.9858933362075696
20251110-210223_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,0.985451202153026
20251110-232540_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,True,0.9827890050484055
20251111-011537_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,True,0.943816612837003
20251111-015941_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,True,0.9827768111231832
20251111-034941_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,True,0.98276043494558
20251111-053942_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,True,0.978883398435575
20251111-092056_tf_efficientnet_b7_ns_448px_rot90_jitter_affine_rrc_mixup_only_ls0.05_cosine,effnet_b7,True,1.0
20251111-110039_swin_large_patch4_window12_384_in22k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,swin_large,True,0.9964349376114081
20251111-150556_convnextv2_large.fcmae_ft_in22k_in1k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,convnextv2,True,0.0991696383684769
20251111-150852_convnextv2_large.fcmae_ft_in22k_in1k_384px_rot90_jitter_affine_rrc_no-reg_ls0.05_cosine,convnextv2,False,
