class_a,class_b,ssim
3,12,0.8964986100080204
3,7,0.8950626646563171
3,4,0.894872525295563
10,12,0.8919901937785583
3,10,0.8885159786256714
0,10,0.8876866538230539
4,7,0.8868441517170097
4,12,0.8860521566646199
7,12,0.8839438949052831
0,12,0.8802880241320145
7,10,0.877236439870544
4,10,0.8749680542405383
0,3,0.8733792002149177
6,12,0.8698539610398218
6,10,0.869154405250544
3,6,0.8640349895665482
11,12,0.8638928884001058
0,7,0.8614565992831665
0,6,0.8609558280424122
0,11,0.8577781370117166
10,11,0.856930739044821
4,6,0.8554555436199759
3,14,0.8530185880445941
0,4,0.8523807076872627
3,13,0.8512686588772714
4,14,0.850912641205685
6,7,0.8507992053965039
12,15,0.8506481606824006
10,14,0.8500158769048002
12,13,0.8490239758280241
12,14,0.8469718550723
7,14,0.8453337969493905
3,11,0.8444567517945181
7,13,0.8438502664945944
10,13,0.8421837888562265
7,11,0.8418327198397039
4,11,0.8414205131613489
0,14,0.8413793323740586
6,11,0.8412150946121869
4,13,0.8405734751561049
0,13,0.8386522077198728
1,10,0.8267020208804728
0,1,0.8254495169484707
3,15,0.8253480482045915
6,13,0.8244856388941277
6,14,0.8213516184250345
1,12,0.8200233365230783
10,15,0.8199027169946979
1,3,0.8170477446319633
7,15,0.8146812619109203
0,15,0.8137858418749133
11,14,0.8106550223919329
1,7,0.8103008460107557
11,15,0.8091244275602798
11,13,0.8082627547521489
13,14,0.8079174960627168
4,15,0.8052352802261634
1,6,0.80516000099711
1,4,0.800193330502269
6,15,0.7991528667674339
0,16,0.794795733109396
1,14,0.7878654156807624
1,11,0.7873164826793853
13,15,0.7783881605608006
14,15,0.7718465826058236
1,13,0.7699197831807104
1,15,0.7580442628110837
10,16,0.7511214537317017
2,16,0.747798249312991
3,16,0.7441544998220622
12,16,0.7427966493707213
7,16,0.7353203312129268
11,16,0.7328144677751733
4,16,0.7284125513270446
6,16,0.7222713672409342
14,16,0.7210128047163824
13,16,0.7113235626997867
1,16,0.7031458474828407
15,16,0.6832763865782295
0,2,0.6470369897429536
9,12,0.6332805975309099
3,9,0.6258206131551366
7,9,0.6243793585341028
4,9,0.6214196776884584
0,9,0.6211242538678736
9,10,0.6137292494329322
2,11,0.6089595204410123
9,11,0.6047816838347055
2,10,0.6042977659879106
6,9,0.6026249262156317
2,12,0.6011061790824235
0,8,0.6007396720767564
2,3,0.5999693641695224
2,7,0.5964140338325938
9,14,0.5963683128181037
9,13,0.5932704439661405
2,4,0.5903776795200308
9,15,0.5810502879714456
2,14,0.5784276143780981
2,13,0.5784217583659244
8,10,0.5776834322316623
2,6,0.5749211994037555
8,11,0.5708885248532511
8,12,0.5701418146467107
3,8,0.5624009611332386
6,8,0.5623710164660038
9,16,0.559303779745674
1,9,0.5584739261449272
7,8,0.5568912629837406
4,8,0.5558252020552908
2,15,0.5557285473968726
1,2,0.5552529230918174
0,5,0.5504540806957567
8,14,0.5445884979376645
8,13,0.5434074963029677
5,9,0.5414799222412618
8,16,0.5414641959800085
8,15,0.5328092036693629
1,8,0.5304300185998488
5,11,0.5237718905974715
5,12,0.5235477831070197
5,10,0.5180832551658501
5,16,0.5098396653159064
5,7,0.5071930908289647
3,5,0.506547971687881
4,5,0.5052156170123513
5,13,0.5018458698601301
5,6,0.5008367417299452
5,15,0.495134002953004
5,14,0.48748776018596707
2,8,0.4863693427704889
2,9,0.47857739057476806
1,5,0.4714539107071083
2,5,0.43975491200420197
8,9,0.4317650229630672
5,8,0.4306615966598561
